time,veCurr1,group
405.739,88,2_15
407,89,2_15
530.753,88,2_15
531.998,89,2_15
533.998,90,2_15
536.016,91,2_15
537.996,92,2_15
540.005,93,2_15
542.003,94,2_15
543.987,95,2_15
546.016,96,2_15
547.997,95,2_15
550,94,2_15
552.003,93,2_15
554.005,92,2_15
555.998,93,2_15
558.002,94,2_15
559.997,95,2_15
561.993,96,2_15
564.011,97,2_15
565.999,98,2_15
567.991,99,2_15
570.005,100,2_15
572.004,101,2_15
574,102,2_15
575.896,96,3_15
576.99,97,3_15
578.996,98,3_15
580.999,99,3_15
583.003,100,3_15
584.996,99,3_15
587.007,98,3_15
589.011,97,3_15
591.002,96,3_15
593.009,95,3_15
595.009,94,3_15
624.292,93,3_15
625.007,92,3_15
626.004,91,3_15
627.018,90,3_15
627.995,89,3_15
628.994,88,3_15
629.99,87,3_15
630.997,86,3_15
632,85,3_15
632.998,84,3_15
633.999,83,3_15
635.006,82,3_15
636.001,81,3_15
637.012,80,3_15
637.992,79,3_15
638.998,80,3_15
639.999,81,3_15
641.011,82,3_15
642.003,83,3_15
643.006,84,3_15
643.993,83,3_15
644.995,82,3_15
646,81,3_15
647.004,80,3_15
648,79,3_15
649.006,78,3_15
650.001,77,3_15
650.994,78,3_15
651.992,79,3_15
653.001,80,3_15
654,81,3_15
654.992,82,3_15
656.021,81,3_15
657.016,80,3_15
658.014,81,3_15
659.009,82,3_15
659.992,81,3_15
660.989,80,3_15
662.013,81,3_15
663.008,82,3_15
664.002,81,3_15
665.008,80,3_15
666.004,81,3_15
666.995,82,3_15
668.007,81,3_15
669.018,80,3_15
670.01,81,3_15
671.008,82,3_15
672.007,83,3_15
673.002,82,3_15
674.002,81,3_15
675.001,80,3_15
675.994,79,3_15
677.012,78,3_15
678.01,77,3_15
